id_vial,trayecto,pk,lat,lon
CV-35,CV-35,43,39.70251751676492,-0.7544015178371755
CV-185,CV-185,0,39.92913016183294,-0.0967875693905104
V-11,V-11,1,39.487043851391356,-0.46827335853976615
A-23,A-23,66,40.07258956524749,-0.7224627626595067
CV-125,CV-125,11,40.58244310706658,-0.20397067062456484
CV-355,CV-355,5,39.96028341642242,-1.1045875025163485
V-30,V-30,2,39.43380700736412,-0.3630480567398688
CV-10,CV-10,34,40.11506649507717,0.01589969235872325
CV-159,CV-159,0,40.1491607335853,0.033841578857331266
CV-160,CV-160,5,40.073217654885426,-0.1208512437901615
N-340,N-340,948,39.781455995858934,-0.19324710886448965
CV-10,CV-10,33,40.10810309647484,0.008698092168136181
N-232,N-232,74,40.7035243034443,-0.07889959764347024
N-234,N-234,62,40.028339611930484,-0.705575526058378
AP-7,E-15,457,39.79524183393908,-0.16728452300010746
CV-25,DIPUTACION,18,39.75628757483645,-0.5259024512686316
CV-35,CV-35,5,39.51052773691268,-0.4272735709036525
A-23,A-23,36,39.8811585322579,-0.5355524181171951
CV-35,CV-35,38,39.68720521095367,-0.7003446729510693
CV-314,CV-314,0,39.67754978218463,-0.302550825742965
CV-315,CV-315,13,39.60964422879491,-0.4002411281418781
CV-124,CV-124,8,40.6021168492722,-0.20067112340536267
CV-401,CV-401,0,39.42219719880722,-0.37195354040770345
CV-18,CV-18,13,39.872416283087674,-0.11948588615499406
N-232,N-232,52,40.569042871050655,-0.029929462423950226
N-232,N-232,47,40.56567516393065,-0.018310874788785236
CV-170,CV-170,34,40.29348116149717,-0.27826489088275724
V-21,V-21,3,39.605166044665474,-0.29375514700583005
CV-10,CV-10,87,40.48825273290575,0.22720103032288583
CV-125,CV-125,15,40.57505695599325,-0.2392766496197185
CV-25,DIPUTACION,14,39.72894199667342,-0.530596880890162
CV-197,CV-197,6,40.19024305057957,-0.4503260940460324
CV-370,CV-370,1,39.49883440306703,-0.48801400436116216
CV-10,CV-10,5,39.92543053879428,-0.19167545622710805
CV-35,CV-35,46,39.70101888512747,-0.7892958117588341
V-31,V-31,1,39.350751217062154,-0.42832634387609725
V-31,V-31,12,39.429915429185364,-0.370614664411328
N-III,N-III,241,39.5288988165353,-1.4511129505830123
CV-170,CV-170,35,40.29348967170203,-0.28251339530216785
CV-355,CV-355,7,39.96721364947224,-1.0865239033832432
CV-35,CV-35,73,39.77401467166282,-1.0414209006158672
CV-10,CV-10,76,40.41638755122406,0.17150981861529271
AP-7,E-15,383,40.29466598904089,0.2319253188430045
CV-10,CV-10,26,40.05947460759836,-0.04138337510097825
A-23,A-23,58,40.00833317936342,-0.6902291084268193
CV-35,CV-35,51,39.69852406455801,-0.847430064367193
CV-310,CV-310,4,39.560167676681395,-0.43185679502574575
CV-421,CV-421,3,39.414632089436424,-0.7280668056594556
CV-10,CV-10,42,40.182196755822986,0.04511791181038786
CS-22,CS-22,7,39.96959522600368,-0.015668358703624975
V-30,V-30,12,39.48776757748608,-0.44336896094148504
CV-363,CV-363,31,40.05725654153657,-1.2374667119715117
N-340 A,N-340 A,1050,40.46059114033207,0.4619287598120201
A-7,E-15,283,39.82275491213365,-0.20790515447030988
CV-11,CV-11,5,40.55712422232799,0.33191820874886147
CV-336,CV-336,0,39.543547879393884,-0.5555423814871548
CS-22,CS-22,1,39.96951947810559,-0.07091734408856028
N-III,N-III,266,39.54389738266174,-1.1822802914998471
N-232,N-232,51,40.58910849174119,-0.039526448167799044
CV-176,CV-176,1,40.14041157002528,-0.38405477161031093
CV-33,CV-33,1,39.390101939501754,-0.4088392000240515
A-7,E-15,281,39.83609643124497,-0.1962020469177675
CV-33,CV-33,4,39.40874645380204,-0.4307349949741124
CV-408,CV-408,0,39.477440975013735,-0.4515431881063518
CV-10,CV-10,2,39.899579146408605,-0.19670399176114423
A-23,A-23,23,39.80638454357319,-0.4289851355835173
CV-350,CV-350,15,39.976615997572296,-1.07250355592731
CV-363,CV-363,20,40.048282614540085,-1.1517966932733583
AP-7,E-15,374,40.35135525543678,0.3006063796171213
CV-10,CV-10,82,40.46525810445175,0.18831180571746614
V-21,V-21,5,39.587127021225086,-0.2936320641986635
CV-35,CV-35,7,39.525437776883116,-0.4399198704981846
CV-349,CV-349,1,39.883797637402665,-0.9099696590910884
CV-157,Carretera Valenciana,4,40.170465557341394,-0.0016078424207089255
V-11,V-11,0,39.482465622412015,-0.4586076793088018
CV-336,CV-336,11,39.582307619954314,-0.4703295894943047
CV-329,CV-329,0,39.69712356478164,-0.34499545861755826
CV-149,CV-149,1,40.011308713125615,-0.03173727185767228
V-15,Carretera Valenciana,3,39.442347440709874,-0.33911618954625317
V-30,V-30,0,39.42654053349424,-0.3418805507164917
CV-18,CV-18,1,39.95632960367923,-0.05807363701602584
CV-10,CV-10,9,39.95523568402997,-0.16971691423808988
AP-7,E-15,388,40.25279885899096,0.23044885888958816
